City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,Kyra,49.5776,111.9753,-19.8,79,100,2.33,RU,2021-12-22 19:15:10
249,Buchanan,5.8808,-10.0467,29.98,74,88,2.93,LR,2021-12-22 19:15:11
250,Traverse City,44.7631,-85.6206,-4.59,72,90,5.66,US,2021-12-22 19:14:23
251,Dharchula,29.85,80.5333,7.37,38,0,3.38,IN,2021-12-22 19:15:12
252,Rafai,4.95,23.9167,25.55,39,100,1.26,CF,2021-12-22 19:15:12
253,Beringovskiy,63.05,179.3167,-7.99,94,100,12.77,RU,2021-12-22 19:15:12
254,Dalby,-27.1833,151.2667,20.27,74,97,2.33,AU,2021-12-22 19:15:13
255,Bell Ville,-32.6259,-62.6887,37.0,17,7,3.92,AR,2021-12-22 19:15:13
256,Chibombo,-14.6569,28.0706,18.55,94,100,1.59,ZM,2021-12-22 19:15:13
257,Kaitangata,-46.2817,169.8464,12.54,60,7,4.99,NZ,2021-12-22 19:15:14
258,Dalvik,65.9702,-18.5286,-8.04,86,20,3.92,IS,2021-12-22 19:15:14
259,Bafq,31.6128,55.4107,12.53,30,9,2.47,IR,2021-12-22 19:15:15
260,Vardo,70.3705,31.1107,-5.01,93,90,11.83,NO,2021-12-22 19:15:15
261,Pimentel,-6.8367,-79.9342,25.16,57,0,7.2,PE,2021-12-22 19:15:15
262,Turayf,31.6725,38.6637,8.14,87,40,2.06,SA,2021-12-22 19:15:15
263,Norman Wells,65.282,-126.8329,-20.98,77,90,1.03,CA,2021-12-22 19:15:16
264,Lukovetskiy,64.2956,41.9211,-11.01,99,100,1.03,RU,2021-12-22 19:15:16
265,Lasa,46.6166,10.7002,-2.51,45,12,1.12,IT,2021-12-22 19:15:16
266,Shenjiamen,29.9576,122.298,12.17,66,19,3.43,CN,2021-12-22 19:15:17
267,Suratgarh,29.3167,73.9,16.73,18,93,3.03,IN,2021-12-22 19:15:17
268,Mareeba,-17.0,145.4333,21.36,94,16,0.76,AU,2021-12-22 19:15:18
269,Ponta Do Sol,32.6667,-17.1,20.4,87,9,3.75,PT,2021-12-22 19:15:18
270,Chara,56.9064,118.2631,-34.08,90,100,1.04,RU,2021-12-22 19:15:18
271,Shelburne,44.0787,-80.2041,-2.71,84,97,7.91,CA,2021-12-22 19:15:11
272,Starachowice,51.0374,21.0713,-3.97,86,24,1.29,PL,2021-12-22 19:15:19
273,Srandakan,-7.9386,110.2506,25.04,88,95,1.94,ID,2021-12-22 19:16:19
274,Boa Vista,2.8197,-60.6733,33.99,49,75,4.63,BR,2021-12-22 19:16:20
275,Severiano Melo,-5.7772,-37.9578,35.83,31,72,8.03,BR,2021-12-22 19:16:20
276,Diebougou,10.9667,-3.25,28.29,16,58,2.72,BF,2021-12-22 19:16:20
277,Apatou,5.155,-54.3472,23.21,99,100,1.18,GF,2021-12-22 19:16:21
278,Longyearbyen,78.2186,15.6401,-12.09,67,40,4.63,SJ,2021-12-22 19:16:21
279,Omboue,-1.5746,9.2618,26.06,88,100,2.7,GA,2021-12-22 19:16:21
280,Lircay,-12.9896,-74.7205,20.3,29,100,3.83,PE,2021-12-22 19:16:22
281,Nanzhou,29.3596,112.4024,10.46,48,0,1.37,CN,2021-12-22 19:16:23
282,Homer,59.6425,-151.5483,-2.07,93,90,0.0,US,2021-12-22 19:16:24
283,Namibe,-15.1961,12.1522,21.23,74,15,4.45,AO,2021-12-22 19:16:26
284,Terrace Bay,48.7834,-87.1,-17.21,77,78,2.5,CA,2021-12-22 19:16:27
285,Killybegs,54.6333,-8.45,11.36,96,100,4.38,IE,2021-12-22 19:16:27
286,Ballina,-28.8667,153.5667,21.1,96,100,1.7,AU,2021-12-22 19:16:28
287,Airai,-8.9266,125.4092,15.67,95,100,0.88,TL,2021-12-22 19:16:28
288,Virginia Beach,36.8529,-75.978,11.7,67,15,6.71,US,2021-12-22 19:13:23
289,Salekhard,66.53,66.6019,-14.58,95,100,4.58,RU,2021-12-22 19:16:28
290,Vasylivka,47.4369,35.2742,-11.51,57,46,4.77,UA,2021-12-22 19:16:29
291,Taoudenni,22.6783,-3.9836,23.73,22,100,4.8,ML,2021-12-22 19:16:29
